number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,annual_poa,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,performance_ratio,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
92,386.4,32408,27,507.50928,1.3134298136645963,0.3,,0.0,0,,1961161.0,2587251.778889795,2814.5889762118995,hectares,AUD,195124.99999999997,954782.5890982291,2031.2474942385843,78.50985013566034,1030876953.3028281,58.729825916052555,,-39668139.37347866,-1317500.8781623708,-1226536.3386025685,5440613.944365862,67d31479-22
92,386.4,33525,27,525.0015,1.3586995341614907,0.3,,0.0,0,,1961161.0,2587251.778889795,2911.5988468126366,hectares,AUD,195124.99999999997,952298.7125784055,1999.5706063454543,77.28550513176116,1049777567.6872729,59.00412295692779,,-43964551.06471176,-1310732.632299993,-1200116.5328792934,5380935.074823481,67d31479-27
92,386.4,30174,27,472.52484,1.2228903726708076,0.35,,0.0,0,,1961161.0,2560958.970254296,2246.202201437507,hectares,AUD,195125,960302.0403030476,2061.1895969724255,80.4850691054904,973963284.5190599,59.30582309747167,,-45377917.553802766,-1332540.676832499,-1285244.09938157,5457268.96893501,67d31479-13
92,386.4,29057,27,455.03261999999995,1.177620652173913,0.35,,0.0,0,,1961161.0,2560958.970254296,2163.0508837797324,hectares,AUD,195125,963380.0314006445,2085.7601991512347,81.44449885287013,949088928.111508,59.411510146505435,,-45682952.04092289,-1340927.8089401065,-1317983.2175170602,5486765.63401591,67d31479-08
92,386.4,31291,27,490.01705999999996,1.2681600931677017,0.35,,0.0,0,,1961161.0,2560958.970254296,2329.3535190952816,hectares,AUD,195124.99999999997,957443.8003195738,2033.6355662003755,79.40914281802965,996516121.2609433,59.35866649455519,,-46916739.45098508,-1324752.338407688,-1254842.3686710482,5414963.071186112,67d31479-18
92,386.4,27940,27,437.5404,1.1323509316770186,0.35,,0.0,0,,1961161.0,2560958.970254296,2079.8995661219574,hectares,AUD,195124.99999999997,966704.1295888654,2105.8031330482986,82.22713278530965,921373945.1552057,59.69932867049098,,-47809524.49443249,-1349985.551395903,-1353340.0589852165,5505693.37637604,67d31479-03
92,386.4,32408,27,507.50928,1.3134298136645963,0.35,,0.0,0,,1961161.0,2560958.970254296,2412.5048367530567,hectares,AUD,195124.99999999997,954782.5890982291,2004.0827384511672,78.25516776054275,1017090587.6517801,59.527217715285246,,-49930238.18173406,-1317500.8781623708,-1226536.3386025685,5364365.669839344,67d31479-23
92,386.4,33525,27,525.0015,1.3586995341614907,0.35,,0.0,0,,1961161.0,2560958.970254296,2495.6561544108313,hectares,AUD,195124.99999999997,952298.7125784055,1972.8212174358619,77.0344718658248,1035734098.3856536,59.80298086291462,,-54418692.193799265,-1310732.632299993,-1200116.5328792934,5305953.966841718,67d31479-28
92,386.4,30174,27,472.52484,1.2228903726708076,0.39999999999999997,,0.0,0,,1961161.0,2531686.5739093777,1965.4269262578189,hectares,AUD,195125,960302.0403030476,2031.529103865509,80.24409991353961,959947964.759393,60.17469756875303,,-55567184.48522792,-1332540.676832499,-1285244.09938157,5376270.883344554,67d31479-14
92,386.4,29057,27,455.03261999999995,1.177620652173913,0.39999999999999997,,0.0,0,,1961161.0,2531686.5739093777,1892.6695233072658,hectares,AUD,195125,963380.0314006445,2055.6813432663357,81.19809791825831,935402067.5116,60.28550823233227,,-55614084.48618183,-1340927.8089401065,-1317983.2175170602,5404936.18170433,67d31479-09
