number_of_inverters,ac_mw,number_of_strings,modules_per_string,dc_mw,dc_ac_ratio,gcr,pitch_m,racking_azimuth,racking_tilt_deg,table_max_height_m,annual_ghi,annual_poa,total_land_area,land_area_units,currency,module_capex_per_mw,bop_capex_per_mw,specific_production,performance_ratio,net_annual_yield_kwh,bep,ppa_price_per_mwh,development_fee_potential,total_capex_per_mw,total_opex_per_mw,total_revenue_per_mw,id
118,495.59999999999997,40650,27,674.99325,1.3619718523002422,0.25,,0.0,0,,1974097.0,2625548.340752429,2018.42426,hectares,AUD,186840.00830408302,1017404.6334892287,2034.7414632713521,77.49777186308582,1373436753.2032857,63.67443121216991,,-119901169.77958632,-1407131.3563806745,-1860124.0940079223,6044583.143214312,67d31481-26
118,495.59999999999997,35230,27,584.99415,1.1803756053268766,0.35,,0.0,0,,1974097.0,2578229.8966532326,1249.5007323809525,hectares,AUD,186840.13094900176,1028613.267393664,2098.030712507847,81.37485005628375,1227335693.3374224,64.21542112093063,,-120386050.97085515,-1443239.8679323443,-1993125.920420553,6180314.189062149,67d31481-08
118,495.59999999999997,33875,27,562.494375,1.134976543583535,0.35,,0.0,0,,1974097.0,2578229.8966532326,1201.4430119047618,hectares,AUD,186840.11459634593,1031975.8575649945,2118.655274214454,82.17480050807934,1191731674.309713,64.48024378295676,,-121505010.16105497,-1454072.36635174,-2049362.3117712988,6229849.38794018,67d31481-03
118,495.59999999999997,36585,27,607.493925,1.2257746670702179,0.35,,0.0,0,,1974097.0,2578229.8966532326,1297.5584528571428,hectares,AUD,186840.14609034974,1025499.7579757652,2073.4349868924774,80.42087284706368,1259599158.4196346,64.13515117301482,,-121565849.05052948,-1433209.7768032746,-1941055.1876883814,6120204.3138142545,67d31481-13
118,495.59999999999997,37940,27,629.9937,1.2711737288135594,0.35,,0.0,0,,1974097.0,2578229.8966532326,1345.6161733333333,hectares,AUD,186840.16015017295,1022608.6420877164,2046.167300870187,79.36326017808926,1289072508.6942225,64.19756803193715,,-124822792.8370451,-1423896.1207548531,-1892703.7930085072,6051770.088018205,67d31481-18
118,495.59999999999997,40650,27,674.99325,1.3619718523002422,0.3,,0.0,0,,1974097.0,2604771.2932652486,1682.0202166666668,hectares,AUD,186840.00830408302,1017404.6334892287,2011.9344435249402,77.24034922862079,1358042168.8218408,64.07146597534789,,-127130034.46518415,-1407131.3563806745,-1828359.9540110626,5973298.150495998,67d31481-27
118,495.59999999999997,39295,27,652.493475,1.3165727905569007,0.35,,0.0,0,,1974097.0,2578229.8966532326,1393.6738938095239,hectares,AUD,186840.17324035306,1019916.9135022917,2016.2520448336813,78.20295806246574,1315591303.2093844,64.40142131417299,,-130426805.50665933,-1415224.7858132182,-1847686.9772720728,5973917.190768233,67d31481-23
118,495.59999999999997,35230,27,584.99415,1.1803756053268766,0.39999999999999997,,0.0,0,,1974097.0,2549136.4899423784,1093.3131408333334,hectares,AUD,186840.13094900176,1028613.267393664,2068.0856611489107,81.128871259289,1209818013.4709952,64.97610796668222,,-131590442.22127771,-1443239.8679323443,-1976109.4168508067,6090614.686768633,67d31481-09
118,495.59999999999997,33875,27,562.494375,1.134976543583535,0.39999999999999997,,0.0,0,,1974097.0,2549136.4899423784,1051.2626354166666,hectares,AUD,186840.11459634593,1031975.8575649945,2088.2360342696334,81.9193496507061,1174621022.948976,65.25202845612753,,-132456884.9029656,-1454072.36635174,-2032345.8082015526,6138970.025297979,67d31481-04
118,495.59999999999997,36585,27,607.493925,1.2257746670702179,0.39999999999999997,,0.0,0,,1974097.0,2549136.4899423784,1135.3636462499999,hectares,AUD,186840.14609034974,1025499.7579757652,2043.8542718377819,80.17829880439167,1241629053.726751,64.89225021584193,,-133047621.13433045,-1433209.7768032746,-1924038.684118635,6031456.915020757,67d31481-14
118,495.59999999999997,37940,27,629.9937,1.2711737288135594,0.39999999999999997,,0.0,0,,1974097.0,2549136.4899423784,1177.4141516666666,hectares,AUD,186840.16015017295,1022608.6420877164,2016.9894847153869,79.1244208646113,1270690668.33694,64.95284515875477,,-136545945.94006222,-1423896.1207548531,-1875687.289438761,5964133.60380905,67d31481-19
118,495.59999999999997,40650,27,674.99325,1.3619718523002422,0.35,,0.0,0,,1974097.0,2578229.8966532326,1441.7316142857144,hectares,AUD,186840.00830408302,1017404.6334892287,1984.6968843276834,76.97905011899803,1339657000.217217,64.71542951966728,,-138043050.40638864,-1407131.3563806745,-1805671.282584734,5889456.215223503,67d31481-28
118,495.59999999999997,39295,27,652.493475,1.3165727905569007,0.39999999999999997,,0.0,0,,1974097.0,2549136.4899423784,1219.4646570833333,hectares,AUD,186840.17324035306,1019916.9135022917,1987.4887895920167,77.96713896778994,1296823466.8444388,65.15747350636838,,-142356721.0523713,-1415224.7858132182,-1830670.4737023264,5887550.173453084,67d31481-24
118,495.59999999999997,35230,27,584.99415,1.1803756053268766,0.45,,0.0,0,,1974097.0,2520587.9328998555,971.833902962963,hectares,AUD,186840.13094900176,1028613.267393664,2038.6885161556997,80.88146775384479,1192620855.6232648,65.77966582478966,,-143071853.30392855,-1443239.8679323443,-1962874.358518782,6002577.751719567,67d31481-10
118,495.59999999999997,33875,27,562.494375,1.134976543583535,0.45,,0.0,0,,1974097.0,2520587.9328998555,934.4556759259258,hectares,AUD,186840.11459634593,1031975.8575649945,2058.3342757767055,81.66087954760054,1157801451.9940956,66.06785518393306,,-143687579.94566905,-1454072.36635174,-2019110.7498695278,6049668.299064926,67d31481-05
118,495.59999999999997,36585,27,607.493925,1.2257746670702179,0.45,,0.0,0,,1974097.0,2520587.9328998555,1009.21213,hectares,AUD,186840.14609034974,1025499.7579757652,2014.862690543076,79.93621901637215,1224016844.2140737,65.69102768597801,,-144802102.19482082,-1433209.7768032746,-1910803.6257866097,5944454.917513496,67d31481-15
118,495.59999999999997,37940,27,629.9937,1.2711737288135594,0.45,,0.0,0,,1974097.0,2520587.9328998555,1046.5903570370367,hectares,AUD,186840.16015017295,1022608.6420877164,1988.4567061435473,78.88860690751191,1252715197.5931861,65.74813129964086,,-148528646.18877918,-1423896.1207548531,-1862452.231106736,5878376.472176325,67d31481-20
118,495.59999999999997,40650,27,674.99325,1.3619718523002422,0.39999999999999997,,0.0,0,,1974097.0,2549136.4899423784,1261.5151625,hectares,AUD,186840.00830408302,1017404.6334892287,1956.331947139167,76.74488811634362,1320510859.0782945,65.47495965695225,,-150168486.0383521,-1407131.3563806745,-1788654.779014988,5804337.5327541,67d31481-29
118,495.59999999999997,39295,27,652.493475,1.3165727905569007,0.45,,0.0,0,,1974097.0,2520587.9328998555,1083.9685840740742,hectares,AUD,186840.17324035306,1019916.9135022917,1959.4858723192526,77.73923879993058,1278551746.0429955,65.94988316373852,,-154500438.00497812,-1415224.7858132182,-1817435.415370302,5803378.987306994,67d31481-25
118,495.59999999999997,40650,27,674.99325,1.3619718523002422,0.45,,0.0,0,,1974097.0,2520587.9328998555,1121.346811111111,hectares,AUD,186840.00830408302,1017404.6334892287,1928.9148919666573,76.52638762526736,1302004531.9019728,66.26468046203917,,-162443986.048293,-1407131.3563806745,-1775419.720682963,5721811.906600631,67d31481-30
